"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cxcl1",0,1.84552612311406,0.812,0.602,0,"0","Cxcl1"
"Dcn",0,2.01699528254656,0.909,0.775,0,"0","Dcn"
"Mgp",0,1.44362219123184,0.96,0.917,0,"0","Mgp"
"Gsn",0,1.82678107000024,0.978,0.945,0,"0","Gsn"
"Fbln2",2.63308836481017e-289,2.28820998533166,0.503,0.17,5.72038447255009e-285,"0","Fbln2"
"Cfh",2.19914811480328e-272,1.75473101942927,0.765,0.599,4.77764927941013e-268,"0","Cfh"
"Emp1",5.94311826927895e-262,2.0473966826422,0.564,0.251,1.29114244400085e-257,"0","Emp1"
"Lum",6.27699932456278e-262,1.95594532257553,0.552,0.231,1.36367810326126e-257,"0","Lum"
"Ltbp4",4.12268967494657e-248,1.84043062276479,0.596,0.3,8.95654331882142e-244,"0","Ltbp4"
"Apoe",4.41519404593592e-244,1.8911606522324,0.679,0.434,9.59200906479578e-240,"0","Apoe"
"Dpt",1.43043877163002e-237,2.05374063663315,0.5,0.198,3.10762823136621e-233,"0","Dpt"
"AY036118",1.85324655798782e-237,0.707694495113431,0.985,0.978,4.02617814722853e-233,"0","AY036118"
"Gfpt2",2.19147371762533e-231,2.3549605344323,0.438,0.151,4.76097665154103e-227,"0","Gfpt2"
"Gm42418",1.01883349983107e-226,0.623385211378427,0.999,0.998,2.21341577838299e-222,"0","Gm42418"
"Fbln1",9.41746042975688e-226,2.30079366013819,0.392,0.116,2.04594327836468e-221,"0","Fbln1"
"Mt2",1.40160443933686e-218,0.963501506375039,0.892,0.706,3.04498564445933e-214,"0","Mt2"
"Il6",3.98418904421228e-211,1.62134768995584,0.614,0.342,8.65565069855118e-207,"0","Il6"
"Tmsb4x",6.33621679677399e-211,0.980583255606341,0.864,0.78,1.37654309909915e-206,"0","Tmsb4x"
"Ftl1",6.37544260373501e-205,0.99262444614626,0.889,0.816,1.38506490566143e-200,"0","Ftl1"
"Gpx3",1.1990174434645e-202,2.09895374303847,0.398,0.134,2.60486539592662e-198,"0","Gpx3"
"Ly6a",2.44640633831107e-200,2.21187653547294,0.368,0.112,5.3148177699808e-196,"0","Ly6a"
"Tnfaip6",5.30816893469755e-198,2.08704765461503,0.454,0.186,1.15319970106304e-193,"0","Tnfaip6"
"Clec3b",1.14135089390582e-185,2.16485647975572,0.339,0.1,2.4795848170104e-181,"0","Clec3b"
"Col3a1",2.13717058294374e-185,1.80847888737696,0.521,0.268,4.64300309144528e-181,"0","Col3a1"
"Tnfaip2",3.93391350169911e-181,2.06166540011328,0.364,0.12,8.54642708244132e-177,"0","Tnfaip2"
"B2m",4.80927418750578e-178,1.36837279195848,0.729,0.653,1.04481481723563e-173,"0","B2m"
"Cd34",1.34482038616617e-177,2.0750202926081,0.343,0.107,2.921622288946e-173,"0","Cd34"
"Ly6e",1.42516192216704e-177,2.02944964077266,0.339,0.104,3.09616427590788e-173,"0","Ly6e"
